DATE_FORMAT,DATE,INT ARRIVALS 04,INT ARRIVALS 22,INT ARRIVALS TTL,INT DEPARTURES 04,INT DEPARTURES 22,INT DEPARTURES TTL,LOCAL ARRIVALS 04,LOCAL ARRIVALS 22,LOCAL ARRIVALS TTL,LOCAL DEPARTURES 04,LOCAL DEPARTURES 22,LOCAL DEPARTURES TTL,TRANSITS FXD,TRANSITS HEL,TRANSITS TTL,HELI LND,HELI TO,HELI TTL,T/G,Grant Total,YEAR,MONTH
2018-04-25,25,0.0,47.0,47,1.0,45.0,46,0.0,2.0,2,0.0,2.0,2,0.0,1.0,1,12.0,12.0,24,1.0,123,2018,APR
2018-04-26,26,17.0,9.0,26,8.0,19.0,27,0.0,1.0,1,0.0,1.0,1,1.0,0.0,1,9.0,9.0,18,0.0,74,2018,APR
2018-04-27,27,13.0,8.0,21,16.0,6.0,22,0.0,1.0,1,0.0,1.0,1,1.0,0.0,1,0.0,0.0,0,0.0,46,2018,APR
2018-04-28,28,1.0,38.0,39,0.0,39.0,39,0.0,4.0,4,0.0,4.0,4,2.0,0.0,2,0.0,0.0,0,13.0,101,2018,APR
2018-04-29,29,19.0,14.0,33,12.0,21.0,33,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,0.0,67,2018,APR
2018-04-30,30,10.0,9.0,19,5.0,15.0,20,1.0,2.0,3,1.0,2.0,3,2.0,1.0,3,10.0,10.0,20,0.0,68,2018,APR
2018-05-01,1,9.0,17.0,26,6.0,18.0,24,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,2.0,53,2018,MAY
2018-05-02,2,29.0,21.0,50,23.0,26.0,49,1.0,0.0,1,1.0,0.0,1,2.0,0.0,2,8.0,8.0,16,4.0,123,2018,MAY
2018-05-03,3,11.0,14.0,25,11.0,17.0,28,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,9.0,9.0,18,0.0,72,2018,MAY
2018-05-04,4,20.0,3.0,23,18.0,4.0,22,3.0,0.0,3,3.0,0.0,3,1.0,2.0,3,0.0,0.0,0,11.0,65,2018,MAY
2018-05-05,5,2.0,42.0,44,0.0,42.0,42,0.0,2.0,2,0.0,2.0,2,1.0,0.0,1,0.0,0.0,0,2.0,93,2018,MAY
2018-05-06,6,4.0,29.0,33,0.0,35.0,35,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2.0,2.0,4,0.0,72,2018,MAY
2018-05-07,7,0.0,22.0,22,0.0,22.0,22,0.0,0.0,0,0.0,0.0,0,0.0,2.0,2,10.0,10.0,20,0.0,66,2018,MAY
2018-05-08,8,3.0,24.0,27,2.0,23.0,25,0.0,2.0,2,0.0,2.0,2,0.0,0.0,0,5.0,5.0,10,2.0,68,2018,MAY
2018-05-09,9,1.0,48.0,49,0.0,48.0,48,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,10.0,10.0,20,0.0,117,2018,MAY
2018-05-10,10,21.0,8.0,29,13.0,19.0,32,1.0,1.0,2,1.0,1.0,2,0.0,0.0,0,5.0,5.0,10,8.0,83,2018,MAY
2018-05-11,11,1.0,21.0,22,0.0,22.0,22,0.0,2.0,2,0.0,2.0,2,1.0,2.0,3,1.0,1.0,2,7.0,60,2018,MAY
2018-05-12,12,1.0,40.0,41,0.0,39.0,39,0.0,2.0,2,0.0,2.0,2,1.0,0.0,1,0.0,0.0,0,1.0,86,2018,MAY
2018-05-13,13,1.0,33.0,34,0.0,34.0,34,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,68,2018,MAY
2018-05-14,14,0.0,26.0,26,0.0,25.0,25,0.0,1.0,1,0.0,1.0,1,0.0,0.0,0,11.0,11.0,22,7.0,82,2018,MAY
2018-05-15,15,1.0,22.0,23,0.0,26.0,26,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12.0,12.0,24,10.0,83,2018,MAY
2018-05-16,16,7.0,43.0,50,1.0,47.0,48,0.0,3.0,3,0.0,3.0,3,2.0,0.0,2,7.0,7.0,14,0.0,120,2018,MAY
2018-05-17,17,4.0,27.0,31,6.0,24.0,30,0.0,6.0,6,0.0,6.0,6,1.0,0.0,1,13.0,13.0,26,16.0,116,2018,MAY
2018-05-18,18,2.0,25.0,27,0.0,26.0,26,0.0,2.0,2,0.0,2.0,2,0.0,1.0,1,0.0,0.0,0,1.0,59,2018,MAY
2018-05-19,19,1.0,38.0,39,0.0,41.0,41,0.0,3.0,3,0.0,4.0,4,5.0,1.0,6,0.0,0.0,0,0.0,93,2018,MAY
2018-05-20,20,0.0,34.0,34,0.0,34.0,34,0.0,2.0,2,0.0,2.0,2,3.0,0.0,3,0.0,0.0,0,1.0,76,2018,MAY
2018-05-21,21,1.0,30.0,31,0.0,27.0,27,0.0,6.0,6,0.0,6.0,6,1.0,0.0,1,10.0,10.0,20,0.0,91,2018,MAY
2018-05-22,22,4.0,20.0,24,14.0,11.0,25,3.0,0.0,3,3.0,0.0,3,1.0,0.0,1,6.0,6.0,12,6.0,74,2018,MAY
2018-05-23,23,0.0,54.0,54,0.0,54.0,54,0.0,6.0,6,0.0,6.0,6,3.0,1.0,4,11.0,11.0,22,4.0,150,2018,MAY
2018-05-24,24,3.0,24.0,27,0.0,27.0,27,0.0,3.0,3,0.0,3.0,3,1.0,0.0,1,11.0,11.0,22,7.0,90,2018,MAY
2018-05-25,25,1.0,23.0,24,0.0,26.0,26,0.0,4.0,4,0.0,4.0,4,3.0,1.0,4,0.0,0.0,0,4.0,66,2018,MAY
2018-05-26,26,2.0,40.0,42,0.0,42.0,42,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,1.0,86,2018,MAY
2018-05-27,27,3.0,30.0,33,0.0,37.0,37,0.0,1.0,1,0.0,1.0,1,2.0,0.0,2,0.0,0.0,0,0.0,74,2018,MAY
2018-05-28,28,1.0,27.0,28,0.0,25.0,25,0.0,1.0,1,0.0,1.0,1,0.0,0.0,0,0.0,0.0,0,0.0,55,2018,MAY
2018-05-29,29,1.0,27.0,28,0.0,27.0,27,0.0,3.0,3,0.0,3.0,3,0.0,1.0,1,2.0,2.0,4,14.0,80,2018,MAY
